Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2018-01-02,18774.951171875,18774.951171875,17958.64862139857,17990.044729319143,15333851
2018-01-03,18774.951171875,19057.518015430913,18680.762848113274,18994.725799589763,9144231
2018-01-04,19151.705078125,19151.705078125,18806.34604146853,18837.742147321787,8563722
2018-01-05,18837.7421875,19183.101224893075,18806.346081579777,19151.70511897285,8706153
2018-01-08,19120.310546875,19120.310546875,18617.97093958336,18712.159264899772,7721728
2018-01-09,19497.064453125,19559.85666592119,18931.930793418014,19151.705410475315,13162176
2018-01-10,19308.685546875,19779.62900546851,19183.10112385556,19465.667947919905,15604096
2018-01-11,19308.685546875,19434.271842165046,19057.51670083612,19183.10112385556,7389292
2018-01-12,18900.53515625,19465.668829987157,18900.53515625,19402.874743361383,8625244
2018-01-15,19151.705078125,19214.49728983152,18743.553829762008,18869.13825317505,7335287
2018-01-16,19151.705078125,19308.6856073913,18931.930464881567,19120.30897227174,4922979
2018-01-17,18523.78125,19183.10135092708,18523.78125,19151.70524480058,8424585
2018-01-18,18523.78125,18523.78125,18084.233891958407,18304.00663484389,10189539
2018-01-19,18492.384765625,18774.951615863025,18492.384765625,18523.782746558805,6114687
2018-01-22,19120.310546875,19308.68719750783,18649.367048022163,18680.76315646097,7662556
2018-01-25,19183.1015625,19654.045031862188,19120.30934955446,19308.685988391077,16451614
2018-01-26,19088.912109375,19465.667236943074,18994.723795550613,19465.667236943074,4982211
2018-01-29,18931.931640625,19434.27311001566,18806.3472094127,19120.31015971418,4138477
2018-01-30,20093.59375,20093.59375,18680.763246622548,18774.95157239356,14623030
2018-01-31,19748.232421875,20564.534896290887,19748.232421875,20344.7621613246,12331360
2018-02-01,19340.083984375,19936.613810179413,19340.083984375,19748.235280667715,6489502
2018-02-02,19151.705078125,19402.873924951084,18994.7245488587,19340.081713244563,5718068
2018-02-05,17927.25,19088.91144700354,17927.25,18869.136850102124,12371447
2018-02-06,17016.76171875,17738.875948838755,16702.798765806532,16702.798765806532,18577096
2018-02-07,17770.271484375,17990.044233765166,17581.892969769888,17895.855912597952,5718592
2018-02-08,17330.724609375,17895.85642482453,17267.932393466246,17581.89347301002,5217982
2018-02-09,17267.9296875,17267.9296875,16483.023367097627,16483.023367097627,6717029
2018-02-12,17927.25,17927.25,17110.9475639727,17676.08117185035,3621168
2018-02-13,18523.78125,18617.969568379493,18147.0261042114,18272.610528717392,4503304
2018-02-21,18649.3671875,18931.932165562535,18523.78275280554,18869.139948215307,5506575
2018-02-22,18335.404296875,18680.763365843562,18272.612079293587,18617.971148262146,4691265
2018-02-23,18994.7265625,19026.12267168158,18366.800634326806,18366.800634326806,6156383
2018-02-26,18963.330078125,19402.875597970604,18963.330078125,19151.706729487403,7788046
2018-02-27,18774.951171875,19088.91412335149,18680.762848113274,19057.518015430913,4322190
2018-02-28,18774.951171875,18963.329691669187,18555.178416430972,18586.574524351545,8658096
2018-03-01,19088.912109375,19214.49652780751,18555.176458766284,18649.364772590667,7065953
2018-03-02,19183.1015625,19245.89377544554,18837.74251902889,18994.724923663383,5620792
2018-03-05,19308.685546875,20250.572464062014,19245.89333536528,19245.89333536528,18396806
2018-03-06,19873.8203125,19873.8203125,19371.478847634586,19622.649580067293,7869843
2018-03-07,19528.458984375,19999.402414631182,19308.68438504452,19936.610206899757,7738156
2018-03-08,19528.458984375,19622.64729597214,19245.892177313093,19465.666776643575,5546510
2018-03-09,19340.083984375,19811.027499748005,19308.687874834854,19685.443061587423,7994630
2018-03-12,19277.291015625,19654.04618772603,19277.291015625,19465.669537810893,5011122
2018-03-13,18869.138671875,19214.497716194877,18649.365926025494,19214.497716194877,15290836
2018-03-14,19088.912109375,19088.912109375,18649.364772590667,18869.137504847567,6381969
2018-03-15,19026.12109375,19183.101626638712,18931.93090174612,19151.70552006097,3631304
2018-03-16,18869.138671875,19088.91328999516,18743.55424567528,19026.1210768953,4723020
2018-03-19,18994.7265625,19026.12267168158,18806.34803513972,18900.536362684456,4082509
2018-03-20,19245.89453125,19559.857480577964,18837.74325880486,18900.53547421631,8919852
2018-03-21,19151.705078125,19402.873924951084,19151.705078125,19245.89339568478,3051616
2018-03-22,18869.138671875,19277.289929294737,18869.138671875,19151.705503095018,3979404
2018-03-23,18398.1953125,18712.158252166613,18209.81867206243,18523.781611729042,10291007
2018-03-26,18586.572265625,18649.36447383535,18398.193768723442,18398.193768723442,2933669
2018-03-27,18680.76171875,18869.138354884966,18523.78118863753,18806.346142839975,8404891
2018-03-28,18492.384765625,18649.367181210913,18460.988656961974,18555.17885522183,30095601
